Product Code,Product Name,Sale Date,Quantity Sold,Revenue
P001,Product A,2024-07-01,10,1000
P002,Product B,2024-07-02,15,1500
P003,Product C,2024-07-03,20,2000
P004,Product D,2024-07-04,12,1200
P005,Product E,2024-07-05,8,800
P006,Product F,2024-07-06,18,1800
P007,Product G,2024-07-07,22,2200
P008,Product H,2024-07-08,14,1400
P009,Product I,2024-07-09,16,1600
P010,Product J,2024-07-10,25,2500
P011,Product K,2024-07-11,30,3000
P012,Product L,2024-07-12,28,2800
P013,Product M,2024-07-13,19,1900
P014,Product N,2024-07-14,17,1700
P015,Product O,2024-07-15,21,2100
P016,Product P,2024-07-16,23,2300
P017,Product Q,2024-07-17,24,2400
P018,Product R,2024-07-18,26,2600
P019,Product S,2024-07-19,27,2700
P020,Product T,2024-07-20,29,2900
P021,Product U,2024-07-21,31,3100
P022,Product V,2024-07-22,32,3200
P023,Product W,2024-07-23,33,3300
P024,Product X,2024-07-24,35,3500
P025,Product Y,2024-07-25,36,3600
P026,Product Z,2024-07-26,37,3700
P027,Product AA,2024-07-27,38,3800
P028,Product BB,2024-07-28,39,3900
P029,Product CC,2024-07-29,40,4000
P030,Product DD,2024-07-30,42,4200
